1	1	0	4
1	2	0	3
1	3	0	1
1	4	0	11
1	5	0	5
1	6	0	8
1	7	0	9
1	8	0	10
1	9	0	18
1	10	0	14
1	11	0	12
1	12	0	5
1	1	3	1
1	2	3	3
1	3	3	1
1	4	3	9
1	5	3	5
1	6	3	8
1	7	3	6
1	8	3	7
1	9	3	10
1	10	3	9
1	11	3	4
1	12	3	0
1	1	5	7.06894
1	2	5	21.2857
1	3	5	11.1964
1	4	5	69.64
1	5	5	37.025
1	6	5	50.2265
1	7	5	28.1737
1	8	5	39.2106
1	9	5	42.4219
1	10	5	39.3252
1	11	5	17.38
1	12	5	0
2	1	0	4
2	2	0	4
2	3	0	1
2	4	0	10
2	5	0	6
2	6	0	8
2	7	0	8
2	8	0	10
2	9	0	19
2	10	0	13
2	11	0	13
2	12	0	4
2	1	3	0
2	2	3	4
2	3	3	1
2	4	3	9
2	5	3	5
2	6	3	7
2	7	3	5
2	8	3	5
2	9	3	11
2	10	3	7
2	11	3	4
2	12	3	0
2	1	5	0
2	2	5	25.8217
2	3	5	9.56803
2	4	5	59.2232
2	5	5	33.393
2	6	5	41.29
2	7	5	23.9858
2	8	5	27.0255
2	9	5	45.4403
2	10	5	28.7045
2	11	5	13.2766
2	12	5	0
3	1	0	4
3	2	0	3
3	3	0	2
3	4	0	9
3	5	0	7
3	6	0	8
3	7	0	8
3	8	0	10
3	9	0	19
3	10	0	13
3	11	0	13
3	12	0	4
3	1	3	1
3	2	3	3
3	3	3	2
3	4	3	6
3	5	3	4
3	6	3	6
3	7	3	5
3	8	3	3
3	9	3	8
3	10	3	5
3	11	3	1
3	12	3	0
3	1	5	2.65697
3	2	5	10.8595
3	3	5	10.9651
3	4	5	34.1125
3	5	5	26.8328
3	6	5	28.3608
3	7	5	20.122
3	8	5	19.0953
3	9	5	31.8029
3	10	5	20.082
3	11	5	5.82596
3	12	5	0
4	1	0	5
4	2	0	1
4	3	0	4
4	4	0	8
4	5	0	8
4	6	0	8
4	7	0	8
4	8	0	9
4	9	0	20
4	10	0	13
4	11	0	13
4	12	0	3
4	1	3	1
4	2	3	0
4	3	3	3
4	4	3	5
4	5	3	5
4	6	3	5
4	7	3	2
4	8	3	3
4	9	3	8
4	10	3	3
4	11	3	1
4	12	3	0
4	1	5	3.23054
4	2	5	0
4	3	5	11.643
4	4	5	20.4132
4	5	5	27.7927
4	6	5	22.9425
4	7	5	10.8598
4	8	5	13.6991
4	9	5	31.3253
4	10	5	11.6925
4	11	5	5.34092
4	12	5	0
5	1	0	3
5	2	0	2
5	3	0	4
5	4	0	8
5	5	0	8
5	6	0	9
5	7	0	8
5	8	0	9
5	9	0	18
5	10	0	15
5	11	0	13
5	12	0	3
5	1	3	1
5	2	3	2
5	3	3	3
5	4	3	7
5	5	3	6
5	6	3	7
5	7	3	5
5	8	3	4
5	9	3	8
5	10	3	6
5	11	3	3
5	12	3	0
5	1	5	2.77528
5	2	5	10.6967
5	3	5	25.2154
5	4	5	49.6007
5	5	5	39.7126
5	6	5	45.6526
5	7	5	26.7458
5	8	5	19.3562
5	9	5	37.8414
5	10	5	23.5628
5	11	5	12.3531
5	12	5	0
6	1	0	4
6	2	0	1
6	3	0	4
6	4	0	8
6	5	0	8
6	6	0	9
6	7	0	8
6	8	0	9
6	9	0	18
6	10	0	15
6	11	0	13
6	12	0	3
6	1	3	3
6	2	3	1
6	3	3	4
6	4	3	7
6	5	3	7
6	6	3	9
6	7	3	6
6	8	3	6
6	9	3	11
6	10	3	10
6	11	3	8
6	12	3	1
6	1	5	13.1034
6	2	5	5.925
6	3	5	33.5706
6	4	5	55.6752
6	5	5	46.6573
6	6	5	58.0605
6	7	5	29.8717
6	8	5	27.0791
6	9	5	53.7879
6	10	5	41.752
6	11	5	35.8128
6	12	5	2.30482
7	1	0	7
7	2	0	0
7	3	0	4
7	4	0	7
7	5	0	8
7	6	0	9
7	7	0	6
7	8	0	10
7	9	0	18
7	10	0	15
7	11	0	13
7	12	0	3
7	1	3	2
7	2	3	0
7	3	3	4
7	4	3	6
7	5	3	7
7	6	3	8
7	7	3	3
7	8	3	5
7	9	3	10
7	10	3	10
7	11	3	5
7	12	3	0
7	1	5	11.9085
7	2	5	0
7	3	5	23.5556
7	4	5	40.213
7	5	5	42.0493
7	6	5	50.0436
7	7	5	17.2401
7	8	5	20.9568
7	9	5	45.6378
7	10	5	37.0922
7	11	5	22.1702
7	12	5	0
8	1	0	6
8	2	0	3
8	3	0	3
8	4	0	6
8	5	0	8
8	6	0	10
8	7	0	7
8	8	0	9
8	9	0	17
8	10	0	15
8	11	0	14
8	12	0	2
8	1	3	0
8	2	3	1
8	3	3	2
8	4	3	5
8	5	3	5
8	6	3	10
8	7	3	3
8	8	3	2
8	9	3	7
8	10	3	6
8	11	3	4
8	12	3	0
8	1	5	0
8	2	5	7.294
8	3	5	7.43801
8	4	5	28.1569
8	5	5	22.5895
8	6	5	55.1706
8	7	5	15.4933
8	8	5	11.0096
8	9	5	30.5632
8	10	5	20.4051
8	11	5	15.2867
8	12	5	0
